commit_id,time_stamp,ns,nd,nf,entropy,la,ld,is_fix,ndev,age,lt,nuc,exp,rexp,sexp,contains_bug,htmlcss,strict,bdom,so,tc
ff911c9ffef16c591b25df05cb2322ee737d13e0,1558668012,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,27,22.82,27.0,False,0.0,0.0,0.0,0.0,0.0
0224ae85183ca2b05988e0a7b7572b530ca92eba,1558667941,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,4863,1288.32,17.0,False,0.0,0.0,0.0,0.0,0.0
06d4ad40a49e85e678ce2aa8fac0ecf2176f86e2,1557968646,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,26,22.26,26.0,False,0.0,0.0,0.0,0.0,0.0
2a8e0f823d43d3f9eea4b42ad92834a965fac709,1557900436,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,11,7.76,0.0,False,0.0,0.0,0.0,0.0,0.0
0caebfe905bc1e587fb583de778287c2362bba1a,1557828942,1,1,0,0.0,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
1137e415c9e8701d1b0a25e5812f8c4dffeeeaaa,1557328109,1,2,2,1.0,2,2,1,19.0,59.0,170.5,35.0,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
388d1a5abbfc584ac9e91c522fe0bd50fb099c9b,1557032429,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,25,21.85,25.0,False,0.0,0.0,0.0,0.0,0.0
13a698c4417e3395757b9ee5f02a46fb0f24542d,1557032418,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,24,20.85,24.0,False,0.0,0.0,0.0,0.0,0.0
26bd80774fd70625b2ec44ddd9c967571ef4a884,1556809275,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,23,19.98,23.0,False,0.0,0.0,0.0,0.0,0.0
f0b9c923786e1e35e4586502d21cc2f804c9489d,1556415583,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,22,19.2,22.0,False,0.0,0.0,0.0,0.0,0.0
569b728ab19d1956bf935a98c9c65a03d92ac85f,1556197476,2,2,2,0.47756000000000004,6,1,1,22.0,38.2,445.0,66.5,10,7.09,8.0,False,0.0,0.0,0.0,0.0,0.0
ab50e8e1da2f4f944af683252481728485fedf16,1556162287,1,2,0,0.0,0,0,1,0.0,0.0,0.0,0.0,25,10.48,13.0,False,0.0,0.0,0.0,0.0,0.0
085d188379af98e9f482d7e2009ebfd771bd7ca5,1556162259,2,3,3,0.446671,33,2,1,24.0,67.85,800.0,81.67,2,1.33,1.5,False,0.0,0.0,0.0,2.0,0.0
861aea16615a9736eab6af6d05fa5500ae4d6c37,1556159959,2,2,2,0.507374,20,0,0,15.0,135.66,613.5,57.5,0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0
bd6cea0973247e2a8e1d4a2250614c0bf44f0b26,1556159716,1,1,1,0.0,2,1,1,1.0,676.64,57.0,11.0,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
43b98fe25151b0b6bacd36f3ee27c5d61add5fdb,1556159695,2,2,2,1.0,8,8,0,17.0,271.7,4138.5,77.5,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
ea113d261835d14b7fb7a14896972efc3c8a75b9,1556158412,1,1,0,0.0,0,0,1,0.0,0.0,0.0,0.0,4862,1321.56,21.0,False,0.0,0.0,0.0,0.0,0.0
a9a303009a4267b7f12b956741b4e34dfdc6566f,1556157651,1,1,1,0.0,1,2,1,12.0,77.25,97.0,59.0,4861,1320.57,3406.0,False,0.0,0.0,0.0,1.0,1.0
29e745f99f43d0629df547da80b016996ae70872,1555983841,1,1,1,0.0,1,1,0,18.0,52.45,306.0,68.0,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
f478ab80106b4993398761608aee71b9724e2227,1554944456,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,21,19.01,21.0,False,0.0,0.0,0.0,0.0,0.0
91b8cda0b28d6774d7319d646c999e04d948a8cd,1554911147,1,1,0,0.0,0,0,1,0.0,0.0,0.0,0.0,1,0.99,1.0,False,0.0,0.0,0.0,0.0,0.0
15704ce6ef274f30b05b9fc89337a18bbe48ff57,1554865261,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,4860,1338.09,958.0,False,0.0,0.0,0.0,0.0,0.0
fb4d2c1c632795d1db0e81ad8289cd1718b19e61,1554864683,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,20,18.06,20.0,False,0.0,0.0,0.0,0.0,0.0
546e7d14adddad643f0065ba91c95d69cbbb020e,1554746807,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0
af15d16d62d5ebea28322b703806624dd1ffd039,1554729300,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,19,17.13,19.0,False,0.0,0.0,0.0,0.0,0.0
6a8473411ab67e4b4b00773c5c15b0fad7339b76,1554517151,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,18,16.23,18.0,False,0.0,0.0,0.0,0.0,0.0
a8184917a26215629d6194c079c953dff4caacf5,1554495530,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,27,11.4,1.0,False,0.0,0.0,0.0,0.0,0.0
94c0918f8d4f16d4d0e77771529f05427b1c2a7b,1554473886,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,17,15.25,17.0,False,0.0,0.0,0.0,0.0,0.0
8637009b5bbbfa5cee6aa3d9b9dc24922f3dfd50,1554473869,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,16,14.25,16.0,False,0.0,0.0,0.0,0.0,0.0
6be3bf4a69b4f59fd5507dfdc7ab5f8ba5d00c67,1554168080,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,15,13.38,15.0,False,0.0,0.0,0.0,0.0,0.0
e90cc60c4718a69e2c919275a999b7370141f3bf,1553063204,1,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,4859,1364.06,957.0,False,0.0,0.0,0.0,0.0,0.0
e7b912a17bf3be6b1743307ce359a9c6816be0dd,1553063200,2,3,17,0.43484799999999996,334,158,0,3.0,5.89,6038.94,6.35,4858,1363.06,221.0,False,90.0,10.0,386.0,3240.0,862.0
f11449d916a468651d4fd5024c37e3eebbc9941f,1553062403,1,1,1,0.0,2,1,1,3.0,26.47,115.0,48.0,4857,1362.07,3405.0,False,0.0,0.0,0.0,0.0,0.0
